Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Lat,Lon
2077,2000,17.92,112.01,28.05,14.41,0.0,5.9,0.0,0.01,0.01,23.51,3.52,1.5,32.1019,-116.8111
2077,2001,50.11,115.51,29.21,30.01,0.0,0.0,0.01,0.0,0.0,0.0,17.32,23.4,32.1019,-116.8111
2077,2002,11.01,4.8,20.4,16.22,0.0,0.0,0.0,0.0,15.0,0.0,27.7,48.01,32.1019,-116.8111
2077,2003,0.01,157.5,82.71,24.51,10.5,2.0,2.01,0.0,0.0,0.0,17.0,23.01,32.1019,-116.8111
2077,2004,8.5,103.9,13.2,5.7,0.01,0.0,0.0,0.0,0.0,174.1,23.3,112.81,32.1019,-116.8111
2077,2005,103.8,119.32,26.6,7.91,3.7,0.0,0.0,0.0,0.0,11.5,0.02,0.01,32.1019,-116.8111
2077,2006,9.91,9.0,62.81,33.11,22.0,0.0,0.0,0.0,0.0,5.52,3.01,28.8,32.1019,-116.8111
2077,2007,39.01,50.72,7.01,14.0,0.0,0.0,0.0,0.0,7.0,0.02,1.5,21.52,32.1019,-116.8111
2077,2008,99.01,48.22,13.0,0.0,15.5,0.0,3.8,0.0,0.0,1.5,46.21,150.0,32.1019,-116.8111
2077,2009,3.0,86.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,1.3,15.9,106.0,32.1019,-116.8111
2077,2010,158.2,100.51,43.7,54.32,0.0,0.0,0.0,0.0,0.0,56.72,26.71,132.51,32.1019,-116.8111
2077,2011,10.0,140.01,65.5,10.0,12.51,0.01,0.0,0.0,0.0,6.0,104.0,35.7,32.1019,-116.8111
2077,2012,14.0,50.01,58.5,42.02,0.0,0.0,0.0,0.0,2.01,11.0,5.0,69.71,32.1019,-116.8111
2077,2013,56.4,17.53,44.0,2.01,10.7,0.0,0.01,4.5,0.0,30.0,10.0,18.71,32.1019,-116.8111
2077,2014,11.05,22.9,10.01,15.56,0.0,0.0,0.0,0.01,0.0,0.0,12.0,95.01,32.1019,-116.8111
2077,2015,23.01,22.0,36.5,3.52,57.02,0.01,0.01,0.01,3.72,12.52,10.61,57.1,32.1019,-116.8111
2077,2016,121.01,0.0,28.51,23.53,17.52,0.0,0.0,0.0,45.01,1.5,37.5,151.31,32.1019,-116.8111
2077,2017,101.51,152.01,3.0,0.0,23.3,0.0,0.0,0.01,0.01,0.0,0.01,2.0,32.1019,-116.8111
2077,2018,62.01,25.01,13.5,0.01,0.01,0.0,0.0,0.0,0.0,0.03,31.03,40.5,32.1019,-116.8111
2077,2019,60.5,125.5,27.02,3.0,6.82,0.0,0.0,0.0,0.03,0.0,115.0,100.3,32.1019,-116.8111
2077,2020,20.0,33.51,83.24,63.51,0.01,2.01,0.0,0.01,0.0,0.0,6.5,20.0,32.1019,-116.8111
2001,1969,90.3,82.6,51.5,2.7,10.0,0.0,0.0,0.0,0.0,0.0,13.2,11.4,32.1075,-116.4541
2001,1970,4.3,66.4,59.7,10.6,0.0,0.0,0.0,2.5,0.0,2.0,27.0,65.5,32.1075,-116.4541
2001,1971,17.0,26.7,2.3,23.0,11.0,0.0,0.0,4.0,6.0,24.5,1.0,44.5,32.1075,-116.4541
2001,1972,0.0,2.5,0.0,1.0,3.0,43.0,0.0,0.0,1.5,52.5,47.0,40.0,32.1075,-116.4541
2001,1973,45.5,60.5,106.0,4.5,1.0,0.0,0.0,0.5,0.0,0.0,27.5,3.5,32.1075,-116.4541
2001,1974,71.2,4.9,31.5,3.0,0.0,0.0,39.0,0.0,,27.0,3.7,24.0,32.1075,-116.4541
2001,1975,14.0,20.5,58.1,63.9,0.0,1.0,1.5,3.0,0.6,1.0,29.3,7.5,32.1075,-116.4541
2001,1976,0.0,107.1,37.1,24.7,0.0,0.0,3.9,0.4,92.4,2.9,48.2,34.2,32.1075,-116.4541
2001,1977,38.4,11.0,31.8,4.7,22.5,2.8,0.0,89.0,0.0,19.8,6.5,92.9,32.1075,-116.4541
2001,1978,119.6,124.6,143.1,29.4,0.0,0.0,0.0,0.0,8.5,0.0,91.3,72.7,32.1075,-116.4541
2001,1979,115.0,20.2,117.3,0.3,9.0,0.0,4.5,0.0,0.0,9.5,6.7,21.5,32.1075,-116.4541
2001,1980,191.6,197.8,85.8,24.3,11.5,0.0,2.0,0.0,0.0,0.0,0.0,9.7,32.1075,-116.4541
2001,1981,40.3,61.0,68.0,17.5,0.0,0.0,0.0,0.0,2.3,2.0,32.5,7.5,32.1075,-116.4541
2001,1982,77.7,27.6,108.0,8.5,1.2,0.0,0.0,0.0,3.6,4.5,76.6,73.0,32.1075,-116.4541
2001,1983,52.2,109.4,161.0,57.8,3.0,0.0,0.0,19.4,20.0,45.0,54.0,33.0,32.1075,-116.4541
2001,1984,13.5,0.0,1.0,12.2,0.0,0.0,6.8,4.2,0.0,1.8,26.1,76.9,32.1075,-116.4541
2001,1985,14.1,32.2,22.0,5.0,0.0,0.0,10.0,0.0,21.0,28.7,81.1,27.5,32.1075,-116.4541
2001,1986,22.3,47.5,78.5,3.0,0.0,0.0,1.5,1.5,6.0,13.0,8.0,29.0,32.1075,-116.4541
2001,1987,40.8,75.1,32.9,13.0,3.0,0.0,0.0,2.0,9.5,102.0,46.5,55.0,32.1075,-116.4541
2001,1988,65.0,20.0,19.0,54.5,0.0,0.0,5.5,0.0,0.0,0.5,11.0,34.2,32.1075,-116.4541
2001,1989,11.3,5.0,29.1,0.5,1.6,0.0,0.1,0.0,1.1,6.7,0.2,3.4,32.1075,-116.4541
2001,1990,79.3,23.5,11.0,8.9,6.5,3.0,0.1,0.2,0.1,0.1,19.0,31.6,32.1075,-116.4541
2001,1991,39.7,42.0,141.5,0.6,0.2,0.0,21.7,0.0,0.5,14.6,7.0,38.6,32.1075,-116.4541
2001,1992,49.6,108.4,110.1,1.5,19.7,0.0,0.2,19.3,0.0,6.1,0.0,123.2,32.1075,-116.4541
2001,1993,216.1,143.2,22.6,0.0,3.0,3.5,0.0,0.0,0.0,2.1,20.5,22.6,32.1075,-116.4541
2001,1994,20.5,84.0,60.0,18.6,0.0,0.0,0.0,21.0,0.0,0.2,12.6,32.2,32.1075,-116.4541
2001,1995,145.5,62.8,97.6,31.1,11.0,5.5,1.5,0.0,6.7,0.1,4.5,11.7,32.1075,-116.4541
2001,1996,33.0,47.1,54.5,2.5,0.0,0.0,0.1,10.0,0.0,0.1,15.1,10.5,32.1075,-116.4541
2001,1997,70.3,33.2,0.0,8.5,0.0,4.7,0.0,0.3,26.1,1.1,53.1,85.0,32.1075,-116.4541
2001,1998,33.8,233.5,112.1,38.6,17.1,0.2,0.2,30.6,4.1,4.6,19.1,21.8,32.1075,-116.4541
2001,1999,23.1,18.1,23.3,46.2,0.1,1.5,4.6,0.0,0.3,0.0,0.0,6.0,32.1075,-116.4541
2001,2000,6.51,85.02,28.02,9.01,0.01,12.5,0.0,0.02,2.01,12.02,13.52,3.51,32.1075,-116.4541
2001,2001,90.01,83.53,28.01,31.5,0.01,0.0,5.02,2.0,1.5,0.0,10.52,28.52,32.1075,-116.4541
2001,2002,2.06,1.51,22.11,8.02,0.0,0.0,3.5,0.0,14.0,0.51,18.51,33.02,32.1075,-116.4541
2001,2003,3.0,118.51,51.5,27.73,3.01,0.01,11.04,2.52,0.52,0.0,14.02,15.03,32.1075,-116.4541
2001,2004,11.54,71.52,10.5,8.02,0.0,0.0,0.01,4.0,5.0,143.5,25.5,104.02,32.1075,-116.4541
2001,2005,64.41,84.53,14.62,5.53,3.5,0.0,0.5,1.51,0.0,9.01,0.01,0.0,32.1075,-116.4541
2001,2006,3.5,3.5,67.12,29.51,16.0,0.0,0.08,0.0,0.8,3.51,0.41,13.6,32.1075,-116.4541
2001,2007,16.41,27.21,8.12,6.4,3.8,0.0,0.0,0.01,1.52,0.0,50.0,20.62,32.1075,-116.4541
2001,2008,100.01,31.52,12.01,0.0,8.72,2.1,0.01,9.9,0.01,0.0,43.01,,32.1075,-116.4541
2001,2009,2.41,61.01,0.0,5.73,0.0,1.02,0.01,1.21,5.02,0.02,13.53,27.32,32.1075,-116.4541
2001,2010,205.71,71.82,26.83,38.9,0.0,0.0,1.5,0.03,0.0,47.24,16.5,68.2,32.1075,-116.4541
2001,2011,20.4,107.51,31.82,15.51,32.72,0.0,3.71,0.0,0.05,4.92,74.3,30.6,32.1075,-116.4541
2001,2012,4.51,50.81,52.4,46.91,0.0,0.0,0.01,5.23,8.01,1.3,,,32.1075,-116.4541
2001,2013,64.11,31.61,31.8,0.0,7.6,0.0,1.93,3.11,3.94,28.51,8.61,11.0,32.1075,-116.4541
2001,2014,1.51,8.51,27.22,9.9,0.01,0.0,1.91,1.51,0.0,0.01,4.31,53.61,32.1075,-116.4541
2001,2015,11.38,4.5,26.71,6.01,34.41,0.02,6.91,0.02,3.24,31.42,20.12,37.51,32.1075,-116.4541
2001,2016,99.01,0.0,26.7,24.32,20.1,0.0,0.01,0.0,19.7,0.0,25.41,109.6,32.1075,-116.4541
2001,2017,108.5,73.91,5.82,0.0,6.91,0.0,0.01,1.01,0.01,0.0,3.0,0.01,32.1075,-116.4541
2001,2018,42.41,21.2,12.91,0.0,0.0,0.0,0.02,0.02,1.5,2.81,28.71,63.9,32.1075,-116.4541
2001,2019,48.82,126.61,16.33,6.0,31.3,0.0,3.41,0.0,12.22,0.0,100.6,81.2,32.1075,-116.4541
2001,2020,10.6,35.8,78.5,62.71,0.01,0.0,0.0,0.0,0.0,0.0,14.1,10.0,32.1075,-116.4541
2001,2021,0.0,,,,,,,,,,,,32.1075,-116.4541
2001,2022,,,,,,,0.0,0.0,20.0,0.03,16.41,29.41,32.1075,-116.4541
2001,2023,91.32,7.51,63.32,0.0,0.0,0.0,1.21,41.5,0.0,,,,32.1075,-116.4541
2004,1964,,,,,,,,,,,,35.8,32.1952,-116.4855
2004,1965,10.7,47.3,39.3,145.5,0.1,0.2,7.0,6.0,6.5,0.0,161.5,121.6,32.1952,-116.4855
2004,1966,17.5,54.0,26.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,13.5,32.1952,-116.4855
2004,1967,0.0,0.0,14.7,84.5,0.0,0.0,2.4,0.0,0.0,0.0,61.5,119.9,32.1952,-116.4855
2004,1968,13.6,15.2,28.0,4.3,8.7,3.1,16.5,0.0,0.0,1.2,13.2,41.4,32.1952,-116.4855
2004,1969,192.2,156.6,47.6,6.3,11.5,0.0,1.5,0.0,6.3,0.0,20.1,13.0,32.1952,-116.4855
2004,1970,10.1,78.5,63.5,15.5,0.0,0.0,0.0,11.2,0.0,3.5,28.9,91.9,32.1952,-116.4855
2004,1971,30.2,34.0,11.6,33.0,19.6,0.0,0.0,3.1,9.4,43.9,6.9,77.7,32.1952,-116.4855
2004,1972,0.0,5.3,0.2,1.4,3.8,29.7,0.0,6.0,45.0,56.5,49.2,30.5,32.1952,-116.4855
2004,1973,60.3,92.7,147.1,7.8,3.3,0.0,0.0,12.2,0.0,1.5,51.5,3.3,32.1952,-116.4855
2004,1974,83.2,1.3,43.0,1.6,0.0,0.0,43.3,0.0,0.0,46.6,6.1,28.4,32.1952,-116.4855
2004,1975,26.7,24.2,71.5,69.1,0.5,2.7,0.0,0.0,5.6,0.0,23.3,7.0,32.1952,-116.4855
2004,1976,0.3,158.1,40.55,39.9,0.2,0.1,3.6,0.0,103.9,16.4,29.1,32.4,32.1952,-116.4855
2004,1977,50.5,7.5,36.9,7.7,24.4,2.1,1.3,59.4,0.0,34.4,3.6,126.8,32.1952,-116.4855
2004,1978,183.9,151.2,205.8,36.9,0.2,0.0,0.0,0.0,2.8,2.3,112.8,95.7,32.1952,-116.4855
2004,1979,124.6,37.9,160.3,2.3,7.0,0.0,8.0,0.0,0.0,11.3,7.6,26.0,32.1952,-116.4855
2004,1980,299.7,240.7,85.7,41.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,12.9,32.1952,-116.4855
2004,1981,42.8,67.4,100.0,15.7,2.3,0.0,0.0,1.7,1.5,2.8,48.8,10.0,32.1952,-116.4855
2004,1982,1.7,51.3,106.1,11.4,2.0,0.0,7.0,1.7,5.6,4.7,111.6,85.1,32.1952,-116.4855
2004,1983,0.0,119.3,230.0,61.4,0.0,0.0,0.0,64.3,17.5,28.0,61.4,57.3,32.1952,-116.4855
2004,1984,10.0,0.0,10.0,10.0,,,0.4,13.0,0.4,0.4,30.3,107.1,32.1952,-116.4855
2004,1985,11.2,36.1,15.0,0.4,0.0,0.0,2.0,0.0,12.0,43.0,105.0,26.0,32.1952,-116.4855
2004,1986,17.4,99.0,76.0,3.0,0.0,0.0,2.0,0.0,12.0,18.0,15.0,47.5,32.1952,-116.4855
2004,1987,38.0,82.0,41.4,10.0,1.5,0.0,0.0,0.0,10.0,100.0,96.0,63.0,32.1952,-116.4855
2004,1988,13.0,35.3,25.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,32.1952,-116.4855
2004,1989,,48.0,23.0,2.0,1.5,0.0,0.0,0.0,3.5,4.0,3.5,2.5,32.1952,-116.4855
2004,1990,95.0,33.5,11.5,13.6,6.5,7.0,0.0,0.0,0.0,0.0,28.5,38.0,32.1952,-116.4855
2004,1991,40.7,182.0,169.5,,1.7,0.0,4.0,0.0,32.0,17.0,21.0,,32.1952,-116.4855
2004,1992,58.1,99.0,118.0,4.0,20.0,0.0,,,,,,,32.1952,-116.4855
2004,1993,,,,0.0,4.0,3.0,0.0,2.0,0.0,10.5,31.51,23.5,32.1952,-116.4855
2004,1994,14.5,105.51,57.1,36.0,0.0,0.0,0.0,16.0,0.0,6.5,35.4,3.5,32.1952,-116.4855
2004,1995,174.53,95.5,64.5,38.0,13.0,0.5,0.0,,3.0,,6.0,11.0,32.1952,-116.4855
2004,1996,56.0,44.0,56.5,4.0,0.0,0.0,5.0,17.0,0.0,21.0,26.0,12.0,32.1952,-116.4855
2004,1997,126.2,32.0,0.0,14.5,0.0,6.0,0.0,0.0,31.0,1.0,52.5,97.5,32.1952,-116.4855
2004,1998,55.5,257.0,114.5,22.0,44.1,0.5,0.0,27.0,4.0,6.0,26.0,30.0,32.1952,-116.4855
2004,1999,21.3,0.0,21.6,,,,,,,,,,32.1952,-116.4855
2004,2000,5.0,103.7,23.5,0.0,0.0,8.0,0.0,0.0,3.0,10.0,18.5,2.5,32.1952,-116.4855
2004,2001,90.0,105.0,0.0,15.5,0.0,0.0,3.0,0.2,0.0,0.0,19.5,33.5,32.1952,-116.4855
2004,2002,6.5,1.0,28.0,2.01,0.0,0.0,,,,,,,32.1952,-116.4855
2004,2003,,,,,,0.0,0.0,0.0,0.0,0.0,16.6,19.9,32.1952,-116.4855
2004,2004,7.7,82.1,18.2,11.8,0.0,0.0,0.0,0.0,0.0,97.2,29.5,74.5,32.1952,-116.4855
2004,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,45.0,33.5,32.1952,-116.4855
2004,2008,163.8,67.0,10.0,0.0,8.81,0.0,8.5,7.5,0.0,0.0,57.5,,32.1952,-116.4855
2004,2009,1.0,69.0,0.0,4.0,0.0,0.7,0.0,0.0,2.0,0.0,22.0,105.0,32.1952,-116.4855
2004,2010,176.0,61.0,28.0,23.5,0.0,0.0,0.0,9.5,0.5,52.0,21.5,99.51,32.1952,-116.4855
2004,2011,12.0,133.0,45.0,13.5,8.02,0.0,4.0,0.0,2.0,8.5,97.5,30.0,32.1952,-116.4855
2004,2012,8.5,56.0,61.0,51.0,0.0,0.0,0.0,1.01,7.0,3.5,,,32.1952,-116.4855
2004,2013,73.02,39.01,32.51,1.02,12.5,0.0,2.03,11.0,11.5,28.5,9.01,19.53,32.1952,-116.4855
2004,2014,4.5,11.51,22.5,8.0,0.0,0.0,2.5,5.7,0.0,0.01,9.5,59.0,32.1952,-116.4855
2004,2015,49.5,51.0,45.5,8.0,58.01,0.0,43.51,0.01,7.01,15.51,19.52,26.01,32.1952,-116.4855
2004,2016,106.03,0.0,31.51,28.02,0.01,0.0,0.0,0.0,0.0,0.0,40.0,153.5,32.1952,-116.4855
2004,2017,130.2,99.53,12.0,0.0,18.51,0.0,0.0,7.5,0.01,0.01,7.5,0.0,32.1952,-116.4855
2004,2018,29.01,23.01,19.5,1.0,0.02,12.0,0.0,0.0,2.5,1.01,17.01,67.5,32.1952,-116.4855
2004,2019,38.01,134.0,14.02,4.53,13.03,0.0,0.0,0.0,15.01,0.0,189.5,122.01,32.1952,-116.4855
2004,2020,6.0,28.5,77.5,49.52,0.01,0.01,0.0,0.0,0.0,0.0,3.0,0.0,32.1952,-116.4855
2005,1948,,,,0.0,0.0,0.0,0.0,,0.0,20.5,2.5,60.3,32.0216,-116.7769
2005,1949,88.4,22.9,29.3,6.0,6.5,,0.0,0.0,0.0,,,31.1,32.0216,-116.7769
2005,1950,61.4,17.9,17.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,32.0216,-116.7769
2005,1951,36.7,27.3,6.0,50.6,0.0,0.5,0.0,10.0,0.0,27.2,38.1,90.9,32.0216,-116.7769
2005,1952,87.6,48.0,153.2,35.8,0.0,0.0,0.0,0.0,0.0,0.0,50.4,44.8,32.0216,-116.7769
2005,1953,7.5,9.4,27.0,13.6,4.2,4.5,0.0,0.0,0.0,0.0,17.0,0.0,32.0216,-116.7769
2005,1954,80.7,24.0,69.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,10.0,0.7,32.0216,-116.7769
2005,1955,83.5,12.0,10.0,17.7,9.3,0.0,0.0,1.0,2.0,0.0,7.1,8.3,32.0216,-116.7769
2005,1956,23.0,5.3,1.0,32.0,5.0,0.0,0.0,0.0,0.0,18.5,0.0,,32.0216,-116.7769
2005,1957,134.7,8.5,17.5,20.6,33.8,0.0,0.0,0.0,0.0,38.5,18.0,19.8,32.0216,-116.7769
2005,1958,12.0,59.9,68.8,37.0,5.5,0.0,0.0,5.0,1.0,0.0,16.2,0.0,32.0216,-116.7769
2005,1959,2.0,34.9,0.0,3.5,0.0,0.0,0.0,0.0,10.5,0.0,0.0,45.9,32.0216,-116.7769
2005,1960,66.0,40.1,9.0,9.6,2.8,0.0,0.0,0.0,0.5,2.7,28.2,5.9,32.0216,-116.7769
2005,1961,21.8,0.5,24.8,0.0,1.5,0.0,0.0,3.3,0.0,0.5,11.0,20.5,32.0216,-116.7769
2005,1962,57.6,38.7,28.9,0.0,14.0,0.5,0.0,0.0,0.0,0.0,0.0,4.8,32.0216,-116.7769
2005,1963,15.9,22.5,18.5,20.2,0.0,0.0,0.0,0.0,,0.0,26.0,9.0,32.0216,-116.7769
2005,1964,34.0,9.0,49.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,29.0,2.7,32.0216,-116.7769
2005,1965,9.3,35.0,27.4,73.0,0.0,0.0,0.0,0.0,0.0,0.0,105.7,148.9,32.0216,-116.7769
2005,1966,63.8,51.2,9.5,0.0,0.0,0.02,1.5,0.0,0.0,0.0,17.5,152.3,32.0216,-116.7769
2005,1967,47.0,0.0,17.1,72.2,1.2,2.5,0.0,0.0,0.0,0.0,72.8,99.5,32.0216,-116.7769
2005,1968,13.0,22.2,37.0,18.6,1.0,1.0,0.5,0.0,0.0,4.0,20.0,30.0,32.0216,-116.7769
2005,1969,165.4,127.6,35.3,5.0,18.9,2.7,0.0,0.0,0.0,0.0,20.11,9.0,32.0216,-116.7769
2005,1970,13.0,65.7,80.5,10.0,1.5,1.1,0.0,0.0,0.0,3.0,31.3,74.5,32.0216,-116.7769
2005,1971,13.2,41.6,5.5,22.0,57.0,0.0,0.0,3.0,16.0,29.0,6.5,71.0,32.0216,-116.7769
2005,1972,0.0,2.0,0.0,2.2,16.7,5.1,0.8,0.0,11.6,43.0,57.1,41.8,32.0216,-116.7769
2005,1973,66.0,54.0,131.0,4.5,2.5,0.0,0.0,1.0,0.0,0.0,34.5,7.0,32.0216,-116.7769
2005,1974,79.5,4.5,31.5,5.0,1.5,0.0,0.0,0.0,0.0,34.5,2.0,54.3,32.0216,-116.7769
